sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.8812882765718256
6.9,3.1,5.1,2.3,virginica,0.9350314362246237
5.1,2.5,3.0,1.1,versicolor,0.8520516230758426
4.4,2.9,,0.2,setosa,0.7396578168393567
5.9,3.0,5.1,1.8,virginica,0.6694029683701254
5.5,3.5,1.3,0.2,setosa,0.9608527236500242
5.6,,3.6,1.3,versicolor,0.8113982284591102
6.5,3.0,5.2,2.0,virginica,0.8400177620581964
5.3,3.7,1.5,0.2,setosa,0.9822192886193775
5.1,3.4,1.5,,setosa,0.9024358609659733
6.1,2.8,4.0,1.3,versicolor,0.8989169248170782
5.5,2.4,3.7,1.0,versicolor,0.9430260818117874
7.7,3.0,6.1,2.3,virginica,0.9820760692174749
6.9,3.1,4.9,1.5,versicolor,0.6756711949678599
6.0,2.2,5.0,1.5,virginica,0.5112237571217447
