sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9659142483428181
6.9,3.1,5.1,2.3,virginica,0.9639633149738589
5.1,2.5,3.0,1.1,versicolor,0.9504572940970278
4.4,2.9,,0.2,setosa,0.6320567465334667
5.9,3.0,5.1,1.8,virginica,0.7553634923350774
5.5,3.5,1.3,0.2,setosa,0.9578238520261516
5.6,,3.6,1.3,versicolor,0.9386355485360702
6.5,3.0,5.2,2.0,virginica,0.9445069131567804
5.3,3.7,1.5,0.2,setosa,0.9629938963931223
5.1,3.4,1.5,,setosa,0.8101423364487732
6.1,2.8,4.0,1.3,versicolor,0.9781595414876456
5.5,2.4,3.7,1.0,versicolor,0.9784147484540857
7.7,3.0,6.1,2.3,virginica,0.9589373691719861
6.9,3.1,4.9,1.5,versicolor,0.7512004072198967
6.0,2.2,5.0,1.5,versicolor,0.5977502352508567
4.0,2.3,1.1,0.4,setosa,0.8386982722393611
5.3,3.0,5.0,2.4,virginica,0.9475453172945778
